iso3,country,year,cases,deaths,cfr
CIV,Cote d'Ivoire,2017,411,,
COG,Congo,2017,1251,,
BEN,Benin,2017,625,,
COD,DR Congo,2017,30038,,
NGA,Nigeria,2017,597,,
MLI,Mali,2017,219,,
GHA,Ghana,2017,9548,,
NER,Niger,2017,5285,,
GIN,Guinea,2017,7325,,
BFA,Burkina Faso,2017,143,,
CMR,Cameroon,2017,125,,
TOG,Togo,2017,61,,
SIL,Sierra Leone,2017,22345,,
GNB,Guinea Bissau,2017,3359,,
LBR,Liberia,2017,386,,
BEN,,2016,761,13.0,1.70828
COD,DR Congo,2016,28093,759.0,2.70174
USA,,2016,14,0.0,0.0
GHA,,2016,175,0.0,0.0
SOM,Somalia,2016,15619,548.0,3.50855
DOM,,2016,1159,27.0,2.32959
IND,India,2016,841,3.0,0.35672
NGA,Nigeria,2016,768,32.0,4.16667
RWA,,2016,355,0.0,0.0
CAN,,2016,1,0.0,0.0
NER,Niger,2016,38,6.0,15.78947
COG,Congo,2016,15,2.0,13.33333
PHL,Philippines,2016,124,0.0,0.0
ZWE,Zimbabwe,2016,10,1.0,10.0
HTI,Haiti,2016,41421,447.0,1.07916
CHN,,2016,27,0.0,0.0
UGA,Uganda,2016,516,11.0,2.13178
SSD,,2016,4295,82.0,1.9092
YEM,Yemen,2016,15751,164.0,1.0412
DNK,,2016,1,0.0,0.0
GBR,,2016,19,0.0,0.0
IRQ,,2016,0,0.0,0.0
TZA,Tanzania,2016,11360,172.0,1.51408
THA,,2016,52,1.0,1.92308
NLD,,2016,1,0.0,0.0
DEU,,2016,1,0.0,0.0
AFG,Afghanistan,2016,677,5.0,0.73855
KOR,,2016,4,0.0,0.0
AUS,,2016,1,0.0,0.0
AGO,Angola,2016,78,3.0,3.84615
MWI,Malawi,2016,1792,46.0,2.56696
BDI,Burundi,2016,434,5.0,1.15207
MMR,,2016,782,11.0,1.40665
MOZ,Mozambique,2016,883,2.0,0.2265
KEN,Kenya,2016,5866,80.0,1.36379
JPN,,2016,10,0.0,0.0
NPL,,2016,169,0.0,0.0
AFG,Afghanistan,2015,58064,8.0,0.01
NPL,,2015,80,0.0,0.0
IRN,,2015,86,1.0,1.2
IRQ,,2015,4965,2.0,0.04
BDI,Burundi,2015,442,0.0,0.0
AUS,,2015,2,0.0,0.0
SSD,,2015,1818,47.0,2.6
GHA,,2015,692,8.0,1.2
CIV,,2015,199,6.0,3.0
SWE,,2015,1,0.0,0.0
