iso3,country,year,risk_score,risk_level,outbreak_score,wash_score,facility_score,latitude,longitude
AFG,Afghanistan,2016,0.4974,HIGH,0.5607,0.2088,0.8,33.9,67.7
AGO,Angola,2016,0.5019,HIGH,0.3758,0.6473,0.5,-11.2,17.9
ALB,,1994,0.1139,LOW,0.0,0.1111,0.3,0.0,0.0
AND,,1993,0.075,LOW,0.0,0.0,0.3,0.0,0.0
ARE,,2002,0.075,LOW,0.0,0.0,0.3,0.0,0.0
ARG,,1998,0.075,LOW,0.0,0.0,0.3,0.0,0.0
ARM,,1998,0.075,LOW,0.0,0.0,0.3,0.0,0.0
AUS,,2016,0.0988,LOW,0.0596,0.0,0.3,0.0,0.0
AUT,,2005,0.075,LOW,0.0,0.0,0.3,0.0,0.0
AZE,,1994,0.075,LOW,0.0,0.0,0.3,0.0,0.0
BDI,Burundi,2016,0.511,HIGH,0.5225,0.2915,0.8,-3.4,29.9
BEL,,2005,0.075,LOW,0.0,0.0,0.3,0.0,0.0
BEN,,2017,,LOW,0.5538,,0.3,9.3,2.3
BFA,,2017,,LOW,0.4274,,0.3,0.0,0.0
BGD,Bangladesh,2000,0.1088,LOW,0.0,0.0966,0.3,23.6,90.3
BHR,,2015,0.1506,LOW,0.189,0.0,0.3,0.0,0.0
BHS,,2012,0.0988,LOW,0.0596,0.0,0.3,0.0,0.0
BLR,,1995,0.075,LOW,0.0,0.0,0.3,0.0,0.0
BLZ,,1999,0.075,LOW,0.0,0.0,0.3,0.0,0.0
BOL,,1998,0.0998,LOW,0.0,0.0709,0.3,0.0,0.0
BRA,,2011,0.075,LOW,0.0,0.0,0.3,0.0,0.0
BRN,,2011,0.075,LOW,0.0,0.0,0.3,0.0,0.0
BTN,,1998,0.075,LOW,0.0,0.0,0.3,0.0,0.0
BWA,,2009,0.0881,LOW,0.0,0.0375,0.3,0.0,0.0
CAF,Central African Republic,2012,0.3064,MEDIUM,0.2659,0.0,0.8,6.6,20.9
CAN,,2016,0.0988,LOW,0.0596,0.0,0.3,0.0,0.0
CHE,,2015,0.1128,LOW,0.0945,0.0,0.3,0.0,0.0
CHL,,2014,0.0988,LOW,0.0596,0.0,0.3,0.0,0.0
CHN,,2016,0.2296,MEDIUM,0.3866,0.0,0.3,0.0,0.0
CIV,,2017,,LOW,0.6239,,0.3,7.5,-5.5
CMR,Cameroon,2017,,LOW,0.4168,,0.5,3.8,11.5
COD,DR Congo,2017,,LOW,0.8937,,0.8,-4.0,21.7
COG,Congo,2017,,LOW,0.8134,,0.5,-0.2,15.8
COL,Colombia,2004,0.075,LOW,0.0,0.0,0.3,0.0,0.0
COM,,2008,0.075,LOW,0.0,0.0,0.3,0.0,0.0
CPV,,2006,0.075,LOW,0.0,0.0,0.3,0.0,0.0
CRI,,1997,0.075,LOW,0.0,0.0,0.3,0.0,0.0
CUB,,2015,0.2191,MEDIUM,0.3603,0.0,0.3,0.0,0.0
CZE,,2002,0.075,LOW,0.0,0.0,0.3,0.0,0.0
DEU,,2016,0.0988,LOW,0.0596,0.0,0.3,0.0,0.0
DJI,,2011,0.0833,LOW,0.0,0.0236,0.3,0.0,0.0
DNK,,2016,0.0988,LOW,0.0596,0.0,0.3,0.0,0.0
DOM,,2016,0.5654,HIGH,0.719,0.5795,0.3,0.0,0.0
DZA,,2006,0.075,LOW,0.0,0.0,0.3,0.0,0.0
ECU,,2004,0.075,LOW,0.0,0.0,0.3,0.0,0.0
ERI,,2008,0.075,LOW,0.0,0.0,0.3,0.0,0.0
ESP,,2015,0.1128,LOW,0.0945,0.0,0.3,0.0,0.0
EST,,1993,0.075,LOW,0.0,0.0,0.3,0.0,0.0
ETH,Ethiopia,2010,0.1619,LOW,0.0,0.1054,0.5,9.1,40.4
FIN,,2008,0.075,LOW,0.0,0.0,0.3,0.0,0.0
FRA,,2015,0.0988,LOW,0.0596,0.0,0.3,0.0,0.0
FSM,,2005,0.075,LOW,0.0,0.0,0.3,0.0,0.0
GAB,,2008,0.075,LOW,0.0,0.0,0.3,0.0,0.0
GBR,,2016,0.1881,LOW,0.2827,0.0,0.3,0.0,0.0
GEO,,1993,0.075,LOW,0.0,0.0,0.3,0.0,0.0
GHA,,2017,,LOW,0.9882,,0.3,7.9,-1.0
GIN,Guinea,2017,,LOW,0.9654,,0.8,11.0,-10.9
GMB,,2008,0.075,LOW,0.0,0.0,0.3,0.0,0.0
GNB,,2017,,LOW,0.8984,,0.3,0.0,0.0
GNQ,,2006,0.075,LOW,0.0,0.0,0.3,0.0,0.0
GRC,,1993,0.075,LOW,0.0,0.0,0.3,0.0,0.0
GTM,,2003,0.075,LOW,0.0,0.0,0.3,0.0,0.0
GUY,,1993,0.0881,LOW,0.0,0.0375,0.3,0.0,0.0
