Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5705942,CHOLERA_0000000001,COUNTRY,NGA,AFR,YEAR,Africa,,1979,,,,,,,,293,,,,,2013-06-11T14:04:28+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
5709485,CHOLERA_0000000001,COUNTRY,UGA,AFR,YEAR,Africa,,2007,,,,,,,,276,,,,,2013-06-11T14:04:28+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
5716465,CHOLERA_0000000001,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,1979,,,,,,,,845,,,,,2013-06-11T14:04:28+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
5723593,CHOLERA_0000000001,COUNTRY,LBR,AFR,YEAR,Africa,,1986,,,,,,,,59,,,,,2013-06-11T14:04:28+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
5733743,CHOLERA_0000000001,COUNTRY,MOZ,AFR,YEAR,Africa,,1974,,,,,,,,1018,,,,,2013-06-11T14:04:28+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
5741297,CHOLERA_0000000001,COUNTRY,GAB,AFR,YEAR,Africa,,2006,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
5742514,CHOLERA_0000000001,COUNTRY,MOZ,AFR,YEAR,Africa,,1981,,,,,,,,1753,,,,,2013-06-11T14:04:28+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
5751058,CHOLERA_0000000001,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,1992,,,,,,,,97,,,,,2013-06-11T14:04:28+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
5756389,CHOLERA_0000000001,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,2011,,,,,,,,77636,,,,,2013-06-11T14:04:28+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
5759296,CHOLERA_0000000001,COUNTRY,KEN,AFR,YEAR,Africa,,2000,,,,,,,,1157,,,,,2013-06-11T14:04:28+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
