Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5716837,CHOLERA_0000000003,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,1992,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
5718296,CHOLERA_0000000003,COUNTRY,GHA,AFR,YEAR,Africa,,1976,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
5719647,CHOLERA_0000000003,COUNTRY,MWI,AFR,YEAR,Africa,,2003,,,,,,,,1.24,,,,,2013-06-11T14:04:28+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
5720633,CHOLERA_0000000003,COUNTRY,MWI,AFR,YEAR,Africa,,1988,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
5724679,CHOLERA_0000000003,COUNTRY,AUS,WPR,YEAR,Western Pacific,,2004,,,,,,,,0.00,,,,,2013-06-11T14:04:28+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
5730292,CHOLERA_0000000003,COUNTRY,MOZ,AFR,YEAR,Africa,,2002,,,,,,,,1.4,,,,,2013-06-11T14:04:28+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
5731090,CHOLERA_0000000003,COUNTRY,KOR,WPR,YEAR,Western Pacific,,2010,,,,,,,,0.00,,,,,2013-06-11T14:04:28+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5734685,CHOLERA_0000000003,COUNTRY,CMR,AFR,YEAR,Africa,,1984,,,,,,,,15.31,,,,,2013-06-11T14:04:28+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
5736088,CHOLERA_0000000003,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,1979,,,,,,,,0.97,,,,,2013-06-11T14:04:28+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
5737634,CHOLERA_0000000003,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,1952,,,,,,,,60.91,,,,,2013-06-11T14:04:28+02:00,1952,1952-01-01T00:00:00+01:00,1952-12-31T00:00:00+01:00
5746235,CHOLERA_0000000003,COUNTRY,CMR,AFR,YEAR,Africa,,1998,,,,,,,,6.87,,,,,2013-06-11T14:04:28+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
5765334,CHOLERA_0000000003,COUNTRY,MMR,SEAR,YEAR,South-East Asia,,1955,,,,,,,,28.57,,,,,2013-06-11T14:04:28+02:00,1955,1955-01-01T00:00:00+01:00,1955-12-31T00:00:00+01:00
5772842,CHOLERA_0000000003,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,1985,,,,,,,,5.36,,,,,2013-06-11T14:04:28+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
5773121,CHOLERA_0000000003,COUNTRY,VNM,WPR,YEAR,Western Pacific,,1986,,,,,,,,1.52,,,,,2013-06-11T14:04:28+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
5774281,CHOLERA_0000000003,COUNTRY,GNB,AFR,YEAR,Africa,,2013,,,,,,,,2.89,2.89,,,,2014-08-29T13:48:56+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
5778784,CHOLERA_0000000003,COUNTRY,CAN,AMR,YEAR,Americas,,1992,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
5780906,CHOLERA_0000000003,COUNTRY,NGA,AFR,YEAR,Africa,,1992,,,,,,,,7.9,,,,,2013-06-11T14:04:28+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
5780955,CHOLERA_0000000003,COUNTRY,KOR,WPR,YEAR,Western Pacific,,2016,,,,,,,,0,0.0,,,,2017-09-01T08:44:50+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5784070,CHOLERA_0000000003,COUNTRY,KHM,WPR,YEAR,Western Pacific,,2009,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
5786163,CHOLERA_0000000003,COUNTRY,VNM,WPR,YEAR,Western Pacific,,1979,,,,,,,,7.67,,,,,2013-06-11T14:04:28+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
5790939,CHOLERA_0000000003,COUNTRY,NGA,AFR,YEAR,Africa,,2001,,,,,,,,5.15,,,,,2013-06-11T14:04:28+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
5799546,CHOLERA_0000000003,COUNTRY,ECU,AMR,YEAR,Americas,,1996,,,,,,,,1.13,,,,,2013-06-11T14:04:28+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
