Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5709551,CHOLERA_0000000002,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,1963,,,,,,,38,38.0,,,,2013-06-11T14:01:25+02:00,1963,1963-01-01T00:00:00+01:00,1963-12-31T00:00:00+01:00
5710761,CHOLERA_0000000002,COUNTRY,KEN,AFR,YEAR,Africa,,,2008,,,,,,,113,113.0,,,,2013-06-11T14:01:25+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
5719246,CHOLERA_0000000002,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,,1986,,,,,,,1945,1945.0,,,,2013-06-11T14:01:25+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
5725681,CHOLERA_0000000002,COUNTRY,TGO,AFR,YEAR,Africa,,,2005,,,,,,,15,15.0,,,,2013-06-11T14:01:25+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
5736775,CHOLERA_0000000002,COUNTRY,CMR,AFR,YEAR,Africa,,,1978,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
5740242,CHOLERA_0000000002,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,1978,,,,,,,246,246.0,,,,2013-06-11T14:01:25+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
5740942,CHOLERA_0000000002,COUNTRY,LBY,EMR,YEAR,Eastern Mediterranean,,,1970,,,,,,,28,28.0,,,,2013-06-11T14:01:25+02:00,1970,1970-01-01T00:00:00+01:00,1970-12-31T00:00:00+01:00
5742261,CHOLERA_0000000002,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,1991,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
5748361,CHOLERA_0000000002,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,,2010,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5755641,CHOLERA_0000000002,COUNTRY,COL,AMR,YEAR,Americas,,,1996,,,,,,,70,70.0,,,,2013-06-11T14:01:25+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
5759196,CHOLERA_0000000002,COUNTRY,COD,AFR,YEAR,Africa,,,1991,,,,,,,294,294.0,,,,2013-06-11T14:01:25+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
