iso3,country,year,risk_score,risk_level,outbreak_score,mortality_score,containment_score,crossborder_score,latitude,longitude
COD,DR Congo,2023,0.5312,HIGH,0.5834,0.5373,0.2,0.7,-4.0,21.7
COG,Congo,2003,0.5814,HIGH,0.675,0.7131,0.2,0.7,-0.2,15.8
GAB,Gabon,2001,0.636,HIGH,0.7384,0.7316,0.35,0.7,-0.8,11.6
GIN,Guinea,2021,0.4355,HIGH,0.5326,0.469,0.2,0.1,11.0,-10.9
LBR,Liberia,2014,0.785,CRITICAL,1.0,0.7,0.9,0.1,6.4,-9.4
MLI,Mali,2014,0.5515,HIGH,0.3299,0.5918,0.9,0.1,17.5,-4.0
NGA,Nigeria,2014,0.5117,HIGH,0.4186,0.3703,0.9,0.4,9.0,8.6
SDN,Sudan,2004,0.4576,HIGH,0.6025,0.3728,0.2,0.4,15.5,32.5
SEN,Senegal,2014,0.2668,MEDIUM,0.1725,0.0,0.9,0.1,14.5,-14.4
SLE,Sierra Leone,2014,0.7482,CRITICAL,1.0,0.5775,0.9,0.1,8.4,-11.7
UGA,Uganda,2022,0.5692,HIGH,0.7343,0.4132,0.5,0.7,1.3,32.3
