iso3,country,year,total_cases,deaths,cfr,outbreak_count,log_cases,outbreak_score,freq_score,cfr_score,log_deaths,death_score,mortality_score,outbreak_id,containment_score,facility_score,crossborder_score,risk_score,risk_level,latitude,longitude
COD,DR Congo,1976,318,280,88.1,1,5.765191102784844,0.9033,0.3,0.9789,5.638354669333745,0.665,0.8533,first_outbreak,0.5,0.85,0.7,0.782,CRITICAL,-4.0,21.7
COD,DR Congo,1994,52,31,59.6,1,3.970291913552122,0.7155,0.3,0.6622,3.4657359027997265,0.4088,0.5608,NaN,0.35,0.85,0.7,0.6079,HIGH,-4.0,21.7
COD,DR Congo,2007,264,187,70.8,1,5.579729825986222,0.8839,0.3,0.7867,5.236441962829949,0.6176,0.7191,NaN,0.5,0.85,0.7,0.7359,CRITICAL,-4.0,21.7
COD,DR Congo,2008,32,14,43.8,1,3.4965075614664802,0.6659,0.3,0.4867,2.70805020110221,0.3194,0.4198,NaN,0.2,0.85,0.7,0.5207,HIGH,-4.0,21.7
COD,DR Congo,2012,36,13,36.1,1,3.6109179126442243,0.6779,0.3,0.4011,2.6390573296152584,0.3113,0.3652,NaN,0.2,0.85,0.7,0.5079,HIGH,-4.0,21.7
COD,DR Congo,2014,66,49,74.2,1,4.204692619390966,0.74,0.3,0.8244,3.912023005428146,0.4614,0.6792,NaN,0.35,0.85,0.7,0.6508,CRITICAL,-4.0,21.7
COD,DR Congo,2017,8,4,50.0,1,2.1972245773362196,0.5299,0.3,0.5556,1.6094379124341003,0.1898,0.4093,NaN,0.2,0.85,0.7,0.4768,HIGH,-4.0,21.7
COD,DR Congo,2018,3481,2299,66.0,1,8.155362120328135,1.0,0.3,0.7333,7.7406644019172415,0.913,0.8052,drc_2018,0.75,0.85,0.7,0.8466,CRITICAL,-4.0,21.7
COD,DR Congo,2020,130,55,42.3,1,4.875197323201151,0.8102,0.3,0.47,4.02535169073515,0.4748,0.4719,NaN,0.5,0.85,0.7,0.6396,HIGH,-4.0,21.7
COD,DR Congo,2021,12,6,50.0,1,2.5649493574615367,0.5684,0.3,0.5556,1.9459101490553132,0.2295,0.4252,NaN,0.2,0.85,0.7,0.4931,HIGH,-4.0,21.7
COD,DR Congo,2022,169,78,46.2,1,5.135798437050262,0.8375,0.3,0.5133,4.3694478524670215,0.5153,0.5141,NaN,0.5,0.85,0.7,0.6605,CRITICAL,-4.0,21.7
COD,DR Congo,2023,14,9,64.3,1,2.70805020110221,0.5834,0.3,0.7144,2.302585092994046,0.2716,0.5373,NaN,0.2,0.85,0.7,0.5312,HIGH,-4.0,21.7
COG,Congo,1995,315,250,79.4,1,5.755742213586912,0.9023,0.3,0.8822,5.5254529391317835,0.6517,0.79,kikwit,0.5,0.55,0.7,0.7327,CRITICAL,-0.2,15.8
COG,Congo,2001,57,43,75.4,1,4.060443010546419,0.7249,0.3,0.8378,3.784189633918261,0.4463,0.6812,NaN,0.35,0.55,0.7,0.6168,HIGH,-0.2,15.8
COG,Congo,2002,143,128,89.5,1,4.969813299576001,0.8201,0.3,0.9944,4.859812404361672,0.5732,0.8259,NaN,0.5,0.55,0.7,0.7188,CRITICAL,-0.2,15.8
